pnu,jiga
1117013100107140003,3630000
1117013100107200003,6593000
1117013100107210003,7642000
1117013100107220003,9900000
1117013100107230003,5220000
1117013100107240003,6693000
1117013100107250003,1881000
1117013100107260003,1920000
1117013100107270003,4907000
1117013100107290003,5272000
1117013100107360003,9185000
1117013100107390003,26080000
1117013100107400003,14220000
1117013100107420003,11020000
1117013100107430003,8335000
1114013300100840004,3861000
1114013300100850004,11880000
1114013600100210004,4464000
1114013600100220004,4524000
1114013600100230004,4789000
1114013600100240004,5073000
1114013600100250004,5145000
1114013800100140004,4728000
1114013800100180004,5084000
1114013800100190004,8864000
1114013800100200004,8813000
1114013800100220004,7010000
1114013800100240004,4474000
1114013800100270004,4770000
1114013800100280004,4722000
1114013800100290004,2910000
1114013800100330004,4299000
1114013800100580004,5700000
1114013800100590004,5757000
1114013800100650004,6220000
1114013800100690004,6095000
1114013800100700004,6953000
1114013800100710004,8450000
1114013800100720004,8541000
1114013800100740004,8190000
1114013800100760004,9132000
1114013800100770004,9132000
1114013800100850004,4854000
1114013800101030004,3550000
1114013800101040004,5350000
1114013800101060004,6386000
1114013800101070004,5761000
1114013800101100004,5243000
1114013800101190004,7120000
1114013800101200004,5400000
1114013800101230004,3930000
1114013800101280004,3930000
1114013800101310004,1207000
1114013800101340004,3660000
1114013900100020004,6095000
1114013900100050004,2808000
1114013900100160004,5005000
1114013900100170004,9598000
1114013900100180004,4689000
1114013900100200004,1800000
1114013900100210004,8510000
1114013900100270004,4140000
1114013900100280004,3924000
1114013900100320004,5961000
1114013900100330004,7571000
1114013900100390004,5100000
1114013900100410004,1138000
1114013900100420004,3450000
1114013900100480004,4057000
1114013900100490004,4057000
1114013900100550004,1366000
1114013900100570004,2349000
1114013900100620004,2740000
1114013900100630004,1656000
1114013900100690004,3589000
1114013900100710004,1197000
1114013900100720004,4919000
1114013900100790004,4557000
1114014300100470004,1214000
1114014300100480004,4019000
1114014300100500004,1214000
1114014300100520004,3820000
1114014300100590004,8924000
1114014300100610004,2653000
1114014300100730004,5342000
1114014300101050004,5342000
1114014400100120004,6143000
1114014400100240004,3930000
1114014400100270004,3930000
1114014400100310004,1574000
1114014400100400004,1039000
1114014400100500004,1128000
1114014400101740004,5520000
1114014400101860004,1524000
1114014400101880004,9276000
1114014400101890004,3092000
1114014400101910004,6353000
